table_name,column_name,data_type
credit_balances,id,uuid
credit_balances,user_id,uuid
credit_balances,monthly_credits,integer
credit_balances,monthly_credits_used,integer
credit_balances,bonus_credits,integer
credit_balances,bonus_credits_used,integer
credit_balances,daily_free_credits,integer
credit_balances,daily_free_used,integer
credit_balances,last_daily_reset,date
credit_balances,last_monthly_reset,date
credit_balances,updated_at,timestamp with time zone
credit_packages,id,text
credit_packages,name,text
credit_packages,credits,integer
credit_packages,bonus_credits,integer
credit_packages,price,integer
credit_packages,is_active,boolean
credit_packages,is_popular,boolean
credit_packages,sort_order,integer
credit_packages,created_at,timestamp with time zone
credit_transactions,id,uuid
credit_transactions,user_id,uuid
credit_transactions,type,text
credit_transactions,amount,integer
credit_transactions,description,text
credit_transactions,action_type,text
credit_transactions,node_id,text
credit_transactions,package_id,text
credit_transactions,created_at,timestamp with time zone
profiles,id,uuid
profiles,email,text
profiles,full_name,text
profiles,avatar_url,text
profiles,ai_response_style,text
profiles,ai_tone,text
profiles,ai_language,text
profiles,ai_custom_instructions,text
profiles,preferred_language,text
profiles,created_at,timestamp with time zone
profiles,updated_at,timestamp with time zone
subscriptions,id,uuid
subscriptions,user_id,uuid
subscriptions,tier,text
subscriptions,status,text
subscriptions,started_at,timestamp with time zone
subscriptions,current_period_end,timestamp with time zone
subscriptions,payment_provider,text
subscriptions,external_subscription_id,text
subscriptions,metadata,jsonb
subscriptions,created_at,timestamp with time zone
subscriptions,updated_at,timestamp with time zone
user_credits,id,uuid
user_credits,user_id,uuid
user_credits,purchased_credits,integer
user_credits,used_credits,integer
user_credits,free_credits_today,integer
user_credits,free_credits_used_today,integer
user_credits,last_free_reset,date
user_credits,welcome_bonus_claimed,boolean
user_credits,credits_expires_at,timestamp with time zone
user_credits,created_at,timestamp with time zone
user_credits,updated_at,timestamp with time zone
workspaces,id,uuid
workspaces,user_id,uuid
workspaces,name,text
workspaces,is_favorite,boolean
workspaces,viewport_x,real
workspaces,viewport_y,real
workspaces,viewport_zoom,real
workspaces,nodes,jsonb
workspaces,edges,jsonb
workspaces,strokes,jsonb
workspaces,created_at,timestamp with time zone
workspaces,updated_at,timestamp with time zone
workspaces,arrows,jsonb
